f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
Alessandro Costa,Matt Schnell,2026-06-06,1,-7.6200000000000045,-10.159999999999997,-6.034223134839149,-0.18999999999999995,0.06,-0.47999999999999954,0.020000000000000018,0.18000000000000005,-0.19,0.43,-0.7999999999999999
Marcus McGhee,John Yannis,2026-06-06,1,-2.5400000000000205,2.539999999999992,4.167008898015059,1.8800000000000003,-0.06,-0.43000000000000016,-0.05999999999999994,0.24,0.11,0.09999999999999998,0.2
Bruno Silva,Edgar Chairez,2026-06-06,0,-15.240000000000009,-7.6200000000000045,5.867214236824097,0.1900000000000004,0.04999999999999999,0.009999999999999787,0.04999999999999999,1.94,0.24,0.25,-1.2
Chelsea Chandler,Priscila Cachoeira,2026-06-06,1,7.6200000000000045,2.539999999999992,-2.2614647501711147,-0.8299999999999996,0.010000000000000009,-3.1800000000000006,-0.04999999999999999,0.44000000000000006,0.09999999999999998,-0.43999999999999995,0.3
Jordan Leavitt,Joanderson Brito,2026-06-06,0,-2.539999999999992,2.539999999999992,-0.303901437371664,-0.19999999999999973,0.07999999999999996,-0.7099999999999997,0.15999999999999998,-0.2599999999999998,-0.37000000000000005,-0.26999999999999996,0.0
Jeisla Chaves,Yuneisy Duben,2026-06-06,1,7.6200000000000045,5.079999999999984,-0.5722108145106084,-0.6800000000000006,0.040000000000000036,-1.1099999999999994,0.11000000000000004,-0.17999999999999994,-0.13,0.12,0.5
Ariane Carnelossi,Ketlen Souza,2026-06-06,0,-5.0800000000000125,-2.5400000000000205,1.74948665297741,-1.4300000000000002,-0.18999999999999995,0.8000000000000003,-0.10000000000000003,0.6100000000000001,0.37,-0.31000000000000005,0.0
Deiveson Figueiredo,Song Yadong,2026-05-30,0,2.539999999999992,-7.6200000000000045,9.957563312799454,-1.77,0.10000000000000003,-0.3799999999999999,-0.06000000000000005,0.7900000000000001,-0.06999999999999995,-0.16000000000000003,1.0
Alonzo Menifield,Zhang Mingyang,2026-05-30,1,2.539999999999992,-5.0800000000000125,10.828199863107457,-3.17,-0.04999999999999993,-1.7399999999999998,0.08000000000000002,0.48,0.31,0.030000000000000027,0.2
Sergei Pavlovich,Tallison Teixeira,2026-05-30,1,2.5400000000000205,-10.159999999999997,7.567419575633124,-0.35999999999999943,-0.18,-0.5199999999999996,0.15000000000000008,-1.93,-0.04999999999999999,0.75,0.0
